time,price
2017-11-03 12:30:19.900,1278.623
2017-11-03 12:30:20.000,1278.623
2017-11-03 12:30:20.100,1278.623
2017-11-03 12:30:20.200,1278.628
2017-11-03 12:30:20.300,1278.41
2017-11-03 12:30:20.400,1278.6285
2017-11-03 12:30:20.500,1278.4
2017-11-03 12:30:20.600,1278.415
2017-11-03 12:30:20.700,1278.415
2017-11-03 12:30:20.800,1278.415
2017-11-03 12:30:20.900,1278.455
2017-11-03 12:30:21.000,1278.35
2017-11-03 12:30:21.100,1278.35
2017-11-03 12:30:21.200,1278.45
2017-11-03 12:30:21.300,1278.37
2017-11-03 12:30:21.400,1278.41
2017-11-03 12:30:21.500,1278.41
2017-11-03 12:30:21.600,1278.41
2017-11-03 12:30:21.700,1278.41
2017-11-03 12:30:21.800,1278.4235
2017-11-03 12:30:21.900,1278.37
2017-11-03 12:30:22.000,1278.39
2017-11-03 12:30:22.100,1278.4
2017-11-03 12:30:22.200,1278.36
2017-11-03 12:30:22.300,1278.36
2017-11-03 12:30:22.400,1278.395
2017-11-03 12:30:22.500,1278.37
2017-11-03 12:30:22.600,1278.31
2017-11-03 12:30:22.700,1278.31
2017-11-03 12:30:22.800,1278.185
2017-11-03 12:30:22.900,1278.15
2017-11-03 12:30:23.000,1278.15
2017-11-03 12:30:23.100,1278.24
2017-11-03 12:30:23.200,1278.31
2017-11-03 12:30:23.300,1278.155
2017-11-03 12:30:23.400,1278.15
2017-11-03 12:30:23.500,1278.235
2017-11-03 12:30:23.600,1278.235
2017-11-03 12:30:23.700,1278.155
2017-11-03 12:30:23.800,1278.235
2017-11-03 12:30:23.900,1278.235
2017-11-03 12:30:24.000,1278.235
2017-11-03 12:30:24.100,1278.195
2017-11-03 12:30:24.200,1278.26
2017-11-03 12:30:24.300,1278.26
2017-11-03 12:30:24.400,1278.26
2017-11-03 12:30:24.500,1278.25
2017-11-03 12:30:24.600,1278.305
2017-11-03 12:30:24.700,1278.31
2017-11-03 12:30:24.800,1278.31
2017-11-03 12:30:24.900,1278.31
2017-11-03 12:30:25.000,1278.345
2017-11-03 12:30:25.100,1278.345
